report,session_id,report_date,completed_work_units,success_status,failure_reason,session_type,agent_count,duration_minutes,files_touched,notes
2026-06-21,transient-agent-error-retry,2026-06-21,1,completed,,patch,1,78.00,13,plan_ns=plan:jarvis:transient-agent-error-retry 2026-06-21T04:44:28.908Z..2026-06-21T04:51:11.349Z; patch_ns=jarvis:2026-06-21T04-35-06Z-transient-agent-error-retry 2026-06-21T05:07:22.504Z..2026-06-21T05:55:41.389Z; git_fallback=325bb75..2ce2d46; judgment=completed; merged spec; watchdog timed out after criteria-complete
2026-06-21,validate-blocker-base-ref (2.1),2026-06-21,2,completed,,patch,1,77.00,12,plan_ns=plan:jarvis:validate-blocker-claims-against-base-ref 2026-06-21T06:18:18.546Z..2026-06-21T06:24:25.581Z; patch_ns=jarvis:2026-06-21T06-11-30Z-validate-blocker-claims-against-base-ref 2026-06-21T06:40:00.083Z..2026-06-21T07:30:02.571Z; git_fallback=574fb2e..3000d22; judgment=completed; merged spec 2.1
2026-06-21,snapshot-gate (deferred plan),2026-06-21,,canceled,deferred,plan,,14.00,,plan_ns=plan:jarvis:snapshot-update-pass-before-preexisting-blocker 2026-06-21T07:39:45.276Z..2026-06-21T07:45:46.917Z; judgment=canceled; deferred plan; no patch run; no exact run diff
2026-06-21,snapshot-gate (2.2),2026-06-21,2,completed,,patch,1,28.00,11,plan_ns=plan:jarvis:snapshot-update-pass-before-preexisting-blocker-2 2026-06-21T11:43:45.218Z..2026-06-21T11:51:44.503Z; patch_ns=jarvis:2026-06-21T11-39-33Z-snapshot-update-pass-before-preexisting-blocker-2 2026-06-21T11:59:11.075Z..2026-06-21T15:55:09.040Z; git_fallback=68c9b69..1b986ed; judgment=completed; hand-finalized after hung pre-commit partial iteration
2026-06-21,patch-rules-mid-edit (2.3),2026-06-21,1,completed,,patch,1,15.00,7,plan_ns=plan:jarvis:patch-rules-mid-edit-red-guidance 2026-06-21T11:11:53.854Z..2026-06-21T11:16:19.725Z; patch_ns=jarvis:2026-06-21T11-11-15Z-patch-rules-mid-edit-red-guidance 2026-06-21T11:20:45.062Z..2026-06-21T11:27:09.919Z; git_fallback=080fcb5..d72fadb; judgment=completed; hand-finalized after idle-timeout partial iteration
2026-06-21,plan-pr-auto-ready (blocked no-op),2026-06-21,,canceled,already-implemented no-op,plan,,2.00,,plan_ns=plan:jarvis:plan-pr-auto-ready-2 2026-06-21T15:49:04.792Z..2026-06-21T15:49:04.792Z; judgment=canceled; already shipped; no patch run
2026-06-21,flaky-serial-retry (3),2026-06-21,2,completed,,patch,1,37.00,9,plan_ns=plan:jarvis:flaky-tests-serial-retry-and-determinism 2026-06-21T16:25:00.922Z..2026-06-21T16:29:58.550Z; patch_ns=jarvis:2026-06-21T16-22-19Z-flaky-tests-serial-retry-and-determinism 2026-06-21T16:40:07.024Z..2026-06-21T16:59:53.183Z; git_fallback=c8ded1e..c768c4e; judgment=completed; merged spec 3
2026-06-21,completion-gate-unsafe (4),2026-06-21,1,completed,,patch,1,31.00,6,plan_ns=plan:jarvis:completion-gate-unsafe-lint-convergence 2026-06-21T16:24:55.393Z..2026-06-21T16:30:04.969Z; patch_ns=jarvis:2026-06-21T16-23-21Z-completion-gate-unsafe-lint-convergence 2026-06-21T17:06:00.375Z..2026-06-21T17:23:07.955Z; git_fallback=c768c4e..e4f0675; judgment=completed; merged spec 4
2026-06-21,intent-no-commit (8),2026-06-21,1,completed,,patch,1,38.00,8,plan_ns=plan:jarvis:intent-mode-no-commit-support 2026-06-21T16:39:30.556Z..2026-06-21T16:45:03.531Z; patch_ns=jarvis:2026-06-21T16-35-05Z-intent-mode-no-commit-support 2026-06-21T17:11:36.686Z..2026-06-21T17:39:55.334Z; git_fallback=2518400..1d91682; judgment=completed; merged spec 8
2026-06-21,run-cli-papercuts (6),2026-06-21,3,completed,,patch,1,59.00,13,plan_ns=plan:jarvis:run-cli-papercuts 2026-06-21T17:31:02.013Z..2026-06-21T17:39:57.152Z; patch_ns=jarvis:2026-06-21T17-24-53Z-run-cli-papercuts 2026-06-21T17:51:21.311Z..2026-06-21T18:24:27.145Z; git_fallback=7bc5801..7795ca1; judgment=completed; merged spec 6
